26-Apr-2017 08:45:43 - INFO    :: RSSCHECK : delaying thread for 30 seconds to avoid locks.
26-Apr-2017 08:45:48 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:45:48 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:45:48 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:45:51 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:45:51 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:45:51 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:45:51 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:45:51 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:45:51 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:45:51 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:45:51 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:45:51 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:45:51 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:45:51 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:45:51 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:45:51 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:45:51 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:45:54 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:45:54 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:45:54 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:45:54 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:45:54 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:45:54 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:45:54 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:45:54 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:45:54 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:45:54 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:45:54 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:45:54 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:45:54 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:45:54 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:45:57 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:45:57 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:45:57 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:45:57 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:45:57 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:45:57 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:45:57 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:45:57 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:45:57 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:45:57 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:45:57 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:45:57 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:45:57 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:45:57 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:00 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:00 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:00 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:00 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:00 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:00 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:00 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:00 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:00 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:00 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:00 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:00 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:00 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:00 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:03 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:03 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:03 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:03 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:03 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:03 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:03 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:03 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:03 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:03 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:03 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:03 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:03 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:03 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:06 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:06 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:06 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:06 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:06 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:06 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:06 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:06 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:06 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:06 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:06 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:06 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:06 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:06 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:09 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:09 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:09 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:09 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:09 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:09 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:09 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:09 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:09 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:09 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:09 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:09 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:09 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:09 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:12 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:12 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:12 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:12 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:12 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:12 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:12 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:12 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:12 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:12 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:12 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:12 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:12 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:12 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:13 - INFO    :: RSSCHECK : RSS Feed Check was last run at : 2017-04-26 08:26:13
26-Apr-2017 08:46:13 - INFO    :: RSSCHECK : [RSS] Initiating RSS Feed Check for NZB Providers.
26-Apr-2017 08:46:14 - WARNING :: RSSCHECK : Error fetching RSS Feed Data from http://: Invalid URL u'http:///rss?t=7030&dl=1&i=1&num=100&r=': No host supplied
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : [RSS] (slug) 0 entries indexed.
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : [RSS] RSS Feed Check/Update Complete
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : [RSS] Watchlist Check for new Releases
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Initiating RSS Search Scan at the scheduled interval of 20 minutes.
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : [SEARCH] Special Characters exist within Series Title. Enabling search-safe Name : The Black Monday Murders All Hail God Mammon
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Issue Title given as : vol. 1
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : search provider order is ['newznab:slug', 'newznab:http://']
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Shhh be very quiet...I'm looking for The Black Monday Murders: All Hail God Mammon issue: 1 (2017) using slug(newznab) [RSS]
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Alternate Search pattern detected...re-adjusting to : The Black Monday Murders All Hail God Mammon
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Shhh be very quiet...I'm looking for The Black Monday Murders All Hail God Mammon issue: 1 (2017) using slug(newznab) [RSS]
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Could not find Issue 1 of The Black Monday Murders: All Hail God Mammon (2017) using slug [rss]
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Shhh be very quiet...I'm looking for The Black Monday Murders: All Hail God Mammon issue: 1 (2017) using http://(newznab) [RSS]
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Alternate Search pattern detected...re-adjusting to : The Black Monday Murders All Hail God Mammon
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Shhh be very quiet...I'm looking for The Black Monday Murders All Hail God Mammon issue: 1 (2017) using http://(newznab) [RSS]
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Could not find Issue 1 of The Black Monday Murders: All Hail God Mammon (2017) using http:// [rss]
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Finished searching via :rss. Issue not found - status kept as Wanted.
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : Completed RSS Search scan
26-Apr-2017 08:46:14 - INFO    :: RSSCHECK : [RSS] Watchlist Check complete.
26-Apr-2017 08:46:15 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:15 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:15 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:15 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:15 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:15 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:15 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:15 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:15 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:15 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:15 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:15 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:15 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:15 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:18 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:18 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:18 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:18 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:18 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:18 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:18 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:18 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:18 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:18 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:18 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:18 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:18 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:18 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:21 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:21 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:21 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:21 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:21 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:21 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:21 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:21 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:21 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:21 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:21 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:21 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:21 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:21 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:23 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:23 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:23 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:23 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:23 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:23 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:23 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:23 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:24 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:24 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:24 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:24 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:24 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:24 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:26 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:26 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:26 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:26 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:26 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:26 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:26 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:26 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:27 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:27 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:27 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:27 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:27 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:27 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:29 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:29 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:29 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:29 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:29 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:29 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:29 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:29 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:30 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:30 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:30 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:30 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:30 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:30 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:32 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:32 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:32 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:32 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:32 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:32 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:32 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:32 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:33 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:33 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:33 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:33 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:33 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:33 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:35 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:35 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
26-Apr-2017 08:46:35 - INFO    :: MAIN : [Cache Check] Cache directory currently set to : /app/mylar/cache/
26-Apr-2017 08:46:35 - INFO    :: MAIN : Checking to see if the database has all tables....
26-Apr-2017 08:46:35 - ERROR   :: MAIN : Could not locate exceptions.csv file. Make sure it is in datadir: /config/mylar
26-Apr-2017 08:46:35 - INFO    :: MAIN : Ensuring DB integrity - Removing all Erroneous Comics (ie. named None)
26-Apr-2017 08:46:35 - INFO    :: MAIN : Correcting Null entries that make the main page break on startup.
26-Apr-2017 08:46:35 - INFO    :: MAIN : Retrieving latest version information from github
26-Apr-2017 08:46:36 - WARNING :: MAIN : Could not get the latest commit from github
26-Apr-2017 08:46:36 - INFO    :: MAIN : Setting ComicTagger settings default path to : /app/mylar/lib/comictaggerlib/ct_settings
26-Apr-2017 08:46:36 - INFO    :: MAIN : ComicTagger settings location exists.
26-Apr-2017 08:46:36 - INFO    :: MAIN : Remapping the sorting to allow for new additions.
26-Apr-2017 08:46:36 - INFO    :: MAIN : Sucessfully ordered 1 series in your watchlist.
26-Apr-2017 08:46:36 - INFO    :: MAIN : Starting Mylar on http://0.0.0.0:8090/
26-Apr-2017 08:46:38 - INFO    :: MAIN : Successfully discovered local IP and locking it in as : 172.17.0.5
26-Apr-2017 08:46:38 - INFO    :: MAIN : [DB Module] Loading : sqlite3 as the database module to use.
